Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
US,40,-100,4/19/2021 0:00,31737347,567690,25043463,31169657,Americas
France,46.2276,2.2137,4/19/2021 0:00,5565852,100522,3978356,4866000,Europe
United Kingdom,55.3781,-3.436,4/19/2021 0:00,4390783,127274,4156135,4263509,Europe
Spain,40.463667,-3.74922,4/19/2021 0:00,3428354,77102,150376,3200876,Europe
India,20.593684,78.96288,4/19/2021 0:00,15320972,180530,13108565,2031877,South-East Asia
Netherlands,52.1326,5.2913,4/19/2021 0:00,1410950,16938,1177642,1394012,Europe
Brazil,-14.235,-51.9253,4/19/2021 0:00,13973695,374682,12346828,1252185,Americas
Belgium,50.8333,4.469936,4/19/2021 0:00,951626,23782,804194,927844,Europe
Sweden,60.128161,18.643501,4/19/2021 0:00,900138,13788,740174,886350,Europe
Serbia,44.0165,21.0059,4/19/2021 0:00,664972,6026,594605,658946,Europe
Turkey,38.9637,35.2433,4/19/2021 0:00,4323596,36267,3736537,550792,Europe
Italy,41.87194,12.56738,4/19/2021 0:00,3878994,117243,3268262,493489,Europe
Ukraine,48.3794,31.1656,4/19/2021 0:00,2006197,41755,1536877,427565,Europe
Iran,32.427908,53.688046,4/19/2021 0:00,2261435,67130,1797319,396986,Eastern Mediterranean
Mexico,23.6345,-102.5528,4/19/2021 0:00,2306910,212466,1765244,329200,Americas
Switzerland,46.8182,8.2275,4/19/2021 0:00,637304,10521,317600,309183,Europe
Poland,51.9194,19.1451,4/19/2021 0:00,2695327,62133,2334978,298216,Europe
Germany,51.165691,10.451526,4/19/2021 0:00,3167137,80353,2811890,274894,Europe
Hungary,47.1625,19.5033,4/19/2021 0:00,753188,25381,458212,269595,Europe
Russia,61.52401,105.318756,4/19/2021 0:00,4657509,104173,4284398,268938,Europe
Argentina,-38.4161,-63.6167,4/19/2021 0:00,2714475,59476,2386383,268616,Americas
Ireland,53.1424,-7.6921,4/19/2021 0:00,243911,4836,23364,215711,Europe
Greece,39.0742,21.8243,4/19/2021 0:00,316879,9540,93764,213575,Europe
Philippines,12.879721,121.774017,4/19/2021 0:00,945745,16048,788322,141375,Western Pacific
Honduras,15.2,-86.2419,4/19/2021 0:00,201677,4963,76339,120375,Americas
Colombia,4.5709,-74.2973,4/19/2021 0:00,2667136,68748,2488246,110142,Americas
Slovakia,48.669,19.699,4/19/2021 0:00,376067,11172,255300,109595,Europe
Iraq,33.223191,43.679291,4/19/2021 0:00,984950,15026,864039,105885,Eastern Mediterranean
Indonesia,-0.7893,113.9213,4/19/2021 0:00,1609300,43567,1461414,104319,South-East Asia
Bangladesh,23.685,90.3563,4/19/2021 0:00,723221,10497,621300,91424,South-East Asia
Norway,60.472,8.4689,4/19/2021 0:00,108028,709,17998,89321,Europe
Pakistan,30.3753,69.3451,4/19/2021 0:00,766882,16453,667131,83298,Eastern Mediterranean
Lebanon,33.8547,35.8623,4/19/2021 0:00,511398,6959,429598,74841,Eastern Mediterranean
Mozambique,-18.665695,35.529562,4/19/2021 0:00,69228,800,62315,68428,Africa
Czechia,49.8175,15.473,4/19/2021 0:00,1602711,28532,1508982,65197,Europe
Bulgaria,42.7339,25.4858,4/19/2021 0:00,388815,15412,310922,62481,Europe
Romania,45.9432,24.9668,4/19/2021 0:00,1031072,26381,944774,59917,Europe
Ethiopia,9.145,40.4897,4/19/2021 0:00,243631,3392,180645,59594,Africa
Kenya,-0.0236,37.9062,4/19/2021 0:00,151894,2501,102278,47115,Africa
Chile,-35.6751,-71.543,4/19/2021 0:00,1131340,25277,1060796,45267,Americas
Japan,36.204824,138.252924,4/19/2021 0:00,537494,9629,482896,44969,Western Pacific
Tunisia,33.886917,9.537499,4/19/2021 0:00,287061,9825,236593,40643,Eastern Mediterranean
Egypt,26.820553,30.802498,4/19/2021 0:00,217186,12778,163812,40596,Eastern Mediterranean
Kazakhstan,48.0196,66.9237,4/19/2021 0:00,344140,3294,300953,39893,Europe
Paraguay,-23.4425,-58.4438,4/19/2021 0:00,252443,5384,207803,39256,Americas
Dominican Republic,18.7357,-70.1627,4/19/2021 0:00,261531,3422,218988,39121,Americas
Bolivia,-16.2902,-63.5887,4/19/2021 0:00,290362,12666,239194,38502,Americas
Finland,61.92411,25.748151,4/19/2021 0:00,84287,891,46000,37396,Europe
Jordan,31.24,36.51,4/19/2021 0:00,689482,8308,644486,36688,Eastern Mediterranean
Bosnia and Herzegovina,43.9159,17.6791,4/19/2021 0:00,191154,7938,148146,35070,Europe
Ecuador,-1.8312,-78.1834,4/19/2021 0:00,360563,17703,309541,33319,Americas
Algeria,28.0339,1.6596,4/19/2021 0:00,119805,3160,83514,33131,Africa
Azerbaijan,40.1431,47.5769,4/19/2021 0:00,301661,4169,265539,31953,Europe
Costa Rica,9.7489,-83.7534,4/19/2021 0:00,230837,3099,197842,29896,Americas
West Bank and Gaza,31.9522,35.2332,4/19/2021 0:00,282270,3047,249382,29841,Eastern Mediterranean
Uruguay,-32.5228,-55.7658,4/19/2021 0:00,167033,1971,136304,28758,Americas
Cameroon,3.848,11.5021,4/19/2021 0:00,64809,939,35261,28609,Africa
Austria,47.5162,14.5501,4/19/2021 0:00,595540,9922,557467,28151,Europe
Albania,41.1533,20.1683,4/19/2021 0:00,129694,2347,102171,25176,Europe
Portugal,39.3999,-8.2245,4/19/2021 0:00,831221,16946,789216,25059,Europe
Jamaica,18.1096,-77.2975,4/19/2021 0:00,44136,727,19832,23577,Americas
South Africa,-30.5595,22.9375,4/19/2021 0:00,1567513,53757,1490876,22880,Africa
Qatar,25.3548,51.1839,4/19/2021 0:00,197476,386,174698,22392,Eastern Mediterranean
Malaysia,4.210484,101.975766,4/19/2021 0:00,377132,1386,355224,20522,Western Pacific
Syria,34.802075,38.996815,4/19/2021 0:00,21279,1456,14958,19823,Eastern Mediterranean
North Macedonia,41.6086,21.7453,4/19/2021 0:00,147229,4478,123710,19041,Europe
Lithuania,55.1694,23.8813,4/19/2021 0:00,234232,3770,211503,18959,Europe
Oman,21.512583,55.923255,4/19/2021 0:00,181430,1890,161670,17870,Eastern Mediterranean
Cyprus,35.1264,33.4299,4/19/2021 0:00,57081,294,39061,17726,Europe
Thailand,15.870032,100.992541,4/19/2021 0:00,43742,104,26873,16765,South-East Asia
United Arab Emirates,23.424076,53.847818,4/19/2021 0:00,498957,1556,481326,16075,Eastern Mediterranean
Armenia,40.0691,45.0382,4/19/2021 0:00,208818,3895,189017,15906,Europe
Venezuela,6.4238,-66.5897,4/19/2021 0:00,184595,1925,166826,15844,Americas
Kuwait,29.31166,47.481766,4/19/2021 0:00,258497,1456,241696,15345,Eastern Mediterranean
Estonia,58.5953,25.0136,4/19/2021 0:00,117782,1100,102226,14456,Europe
Guatemala,15.7835,-90.2308,4/19/2021 0:00,213049,7241,191492,14316,Americas
Peru,-9.19,-75.0152,4/19/2021 0:00,1707787,57537,1636286,13964,Americas
Croatia,45.1,15.2,4/19/2021 0:00,308200,6601,287787,13812,Europe
Libya,26.3351,17.228331,4/19/2021 0:00,172464,2908,157658,11898,Eastern Mediterranean
Kosovo,42.602636,20.902977,4/19/2021 0:00,101191,2080,87224,11887,Europe
Slovenia,46.1512,14.9955,4/19/2021 0:00,232311,4167,216261,11883,Europe
Mongolia,46.8625,103.8467,4/19/2021 0:00,24195,51,12860,11284,Western Pacific
Bahrain,26.0275,50.55,4/19/2021 0:00,165118,600,153671,10847,Eastern Mediterranean
Georgia,42.3154,43.3569,4/19/2021 0:00,295936,3949,281574,10413,Europe
Saudi Arabia,23.885942,45.079162,4/19/2021 0:00,405940,6834,389598,9508,Eastern Mediterranean
Denmark,56.2639,9.5018,4/19/2021 0:00,243374,2459,231628,9287,Europe
Papua New Guinea,-6.314993,143.95555,4/19/2021 0:00,9952,91,846,9015,Western Pacific
Moldova,47.4116,28.3699,4/19/2021 0:00,246238,5591,232328,8319,Europe
South Korea,35.907757,127.766922,4/19/2021 0:00,115195,1802,105227,8166,Western Pacific
Nigeria,9.082,8.6753,4/19/2021 0:00,164303,2061,154384,7858,Africa
Burma,21.9162,95.956,4/19/2021 0:00,142644,3206,131903,7535,South-East Asia
Latvia,56.8796,24.6032,4/19/2021 0:00,111536,2056,102174,7306,Europe
Nepal,28.1667,84.25,4/19/2021 0:00,285900,3091,275555,7254,South-East Asia
Belarus,53.7098,27.9534,4/19/2021 0:00,345110,2433,335485,7192,Europe
Somalia,5.152149,46.199616,4/19/2021 0:00,13324,678,5518,7128,Eastern Mediterranean
Madagascar,-18.766947,46.869107,4/19/2021 0:00,32798,552,26017,6229,Africa
Mali,17.570692,-3.996166,4/19/2021 0:00,13145,441,7493,5211,Africa
Cuba,21.521757,-77.781167,4/19/2021 0:00,94571,531,89073,4967,Americas
Morocco,31.7917,-7.0926,4/19/2021 0:00,505949,8952,492100,4897,Eastern Mediterranean
Sudan,12.8628,30.2176,4/19/2021 0:00,33022,2281,26087,4654,Eastern Mediterranean
Lesotho,-29.61,28.2336,4/19/2021 0:00,10720,316,5868,4536,Africa
Cambodia,11.55,104.9167,4/19/2021 0:00,7013,45,2524,4444,Western Pacific
Botswana,-22.3285,24.6849,4/19/2021 0:00,44702,684,39733,4285,Africa
Panama,8.538,-80.7821,4/19/2021 0:00,361044,6189,350835,4020,Americas
Kyrgyzstan,41.20438,74.766098,4/19/2021 0:00,92095,1555,87056,3484,Europe
Gabon,-0.8037,11.6094,4/19/2021 0:00,22032,136,18706,3190,Africa
Montenegro,42.708678,19.37439,4/19/2021 0:00,95695,1438,91119,3138,Europe
Sri Lanka,7.873054,80.771797,4/19/2021 0:00,97105,620,93374,3111,South-East Asia
Afghanistan,33.93911,67.709953,4/19/2021 0:00,57898,2546,52244,3108,Eastern Mediterranean
Luxembourg,49.8153,6.1296,4/19/2021 0:00,65144,786,61539,2819,Europe
Maldives,3.2028,73.2207,4/19/2021 0:00,26505,70,23691,2744,South-East Asia
Burundi,-3.3731,29.9189,4/19/2021 0:00,3477,6,773,2698,Africa
Guinea,9.9456,-9.6966,4/19/2021 0:00,21612,138,18973,2501,Africa
Yemen,15.552727,48.516388,4/19/2021 0:00,5858,1132,2261,2465,Eastern Mediterranean
Nicaragua,12.865416,-85.207229,4/19/2021 0:00,6778,180,4225,2373,Americas
Congo (Kinshasa),-4.0383,21.7587,4/19/2021 0:00,28956,745,25841,2370,Africa
Cabo Verde,16.5388,-23.0418,4/19/2021 0:00,20627,193,18191,2243,Africa
Togo,8.6195,0.8248,4/19/2021 0:00,12553,120,10230,2203,Africa
Israel,31.046051,34.851612,4/19/2021 0:00,837218,6341,828686,2191,Europe
Uzbekistan,41.377491,64.585262,4/19/2021 0:00,86982,638,84307,2037,Europe
Congo (Brazzaville),-0.228,15.8277,4/19/2021 0:00,10084,139,8208,1737,Africa
El Salvador,13.7942,-88.8965,4/19/2021 0:00,67557,2078,63787,1692,Americas
Namibia,-22.9576,18.4904,4/19/2021 0:00,46773,604,44760,1409,Africa
Guyana,4.860416,-58.93018,4/19/2021 0:00,11901,271,10246,1384,Americas
Timor-Leste,-8.874217,125.727539,4/19/2021 0:00,1368,2,695,1366,South-East Asia
Angola,-11.2027,17.8739,4/19/2021 0:00,24518,563,22600,1355,Africa
Ghana,7.9465,-1.0232,4/19/2021 0:00,91709,771,89604,1334,Africa
Zimbabwe,-19.015438,29.154857,4/19/2021 0:00,37859,1553,35031,1275,Africa
Rwanda,-1.9403,29.8739,4/19/2021 0:00,23934,326,22408,1200,Africa
Sierra Leone,8.460555,-11.779889,4/19/2021 0:00,4038,79,2851,1108,Africa
Malawi,-13.2543,34.3015,4/19/2021 0:00,33959,1139,31774,1046,Africa
Djibouti,11.8251,42.5903,4/19/2021 0:00,10510,119,9385,1006,Eastern Mediterranean
Haiti,18.9712,-72.2852,4/19/2021 0:00,12918,251,11791,876,Americas
Zambia,-13.133897,27.849332,4/19/2021 0:00,90942,1236,88860,846,Africa
Trinidad and Tobago,10.6918,-61.2225,4/19/2021 0:00,8964,154,7976,834,Americas
Benin,9.3077,2.3158,4/19/2021 0:00,7611,95,6728,788,Africa
Malta,35.9375,14.3754,4/19/2021 0:00,30026,409,29003,614,Europe
Central African Republic,6.6111,20.9394,4/19/2021 0:00,5787,75,5112,600,Africa
Suriname,3.9193,-56.0278,4/19/2021 0:00,9581,187,8829,565,Americas
Bahamas,25.025885,-78.035889,4/19/2021 0:00,9791,194,9059,538,Americas
Guinea-Bissau,11.8037,-15.1804,4/19/2021 0:00,3712,66,3142,504,Africa
Andorra,42.5063,1.5218,4/19/2021 0:00,12805,123,12203,479,Europe
Seychelles,-4.6796,55.492,4/19/2021 0:00,4976,25,4501,450,Africa
Gambia,13.4432,-15.3101,4/19/2021 0:00,5720,170,5190,360,Africa
Singapore,1.2833,103.8333,4/19/2021 0:00,60851,30,60503,318,Western Pacific
Tanzania,-6.369028,34.888822,4/19/2021 0:00,509,21,183,305,Africa
Vietnam,14.058324,108.277199,4/19/2021 0:00,2791,35,2475,281,Western Pacific
Equatorial Guinea,1.6508,10.2679,4/19/2021 0:00,7259,106,6885,268,Africa
Mauritius,-20.348404,57.552152,4/19/2021 0:00,1203,15,934,254,Africa
Burkina Faso,12.2383,-1.5616,4/19/2021 0:00,13148,154,12773,221,Africa
San Marino,43.9424,12.4578,4/19/2021 0:00,5030,88,4746,196,Europe
Eritrea,15.1794,39.7823,4/19/2021 0:00,3537,10,3334,193,Africa
Antigua and Barbuda,17.0608,-61.7964,4/19/2021 0:00,1217,31,995,191,Americas
Senegal,14.4974,-14.4524,4/19/2021 0:00,39821,1091,38539,191,Africa
Mauritania,21.0079,-10.9408,4/19/2021 0:00,18142,454,17499,189,Africa
Chad,15.4542,18.7322,4/19/2021 0:00,4708,169,4353,186,Africa
Niger,17.607789,8.081666,4/19/2021 0:00,5131,190,4779,162,Africa
Uganda,1.373333,32.290275,4/19/2021 0:00,41396,339,40898,159,Africa
South Sudan,6.877,31.307,4/19/2021 0:00,10473,114,10215,144,Africa
Cote d'Ivoire,7.54,-5.5471,4/19/2021 0:00,45570,274,45161,135,Africa
Saint Vincent and the Grenadines,12.9843,-61.2872,4/19/2021 0:00,1819,10,1677,132,Americas
Iceland,64.9631,-19.0208,4/19/2021 0:00,6329,29,6203,97,Europe
Saint Lucia,13.9094,-60.9789,4/19/2021 0:00,4419,69,4260,90,Americas
New Zealand,-40.9006,174.886,4/19/2021 0:00,2597,26,2485,86,Western Pacific
Belize,17.1899,-88.4976,4/19/2021 0:00,12558,318,12156,84,Americas
Bhutan,27.5142,90.4336,4/19/2021 0:00,961,1,881,79,South-East Asia
Comoros,-11.6455,43.3333,4/19/2021 0:00,3819,146,3595,78,Africa
Liechtenstein,47.14,9.55,4/19/2021 0:00,2823,56,2693,74,Europe
Monaco,43.7333,7.4167,4/19/2021 0:00,2404,31,2304,69,Europe
Barbados,13.1939,-59.5432,4/19/2021 0:00,3784,44,3681,59,Americas
Liberia,6.428055,-9.429499,4/19/2021 0:00,2042,85,1899,58,Africa
Eswatini,-26.5225,31.4659,4/19/2021 0:00,18417,671,17715,31,Africa
Taiwan*,23.7,121,4/19/2021 0:00,1076,11,1034,31,Western Pacific
Sao Tome and Principe,0.1864,6.6131,4/19/2021 0:00,2275,35,2212,28,Africa
Brunei,4.5353,114.7277,4/19/2021 0:00,221,3,206,12,Western Pacific
Holy See,41.9029,12.4534,4/19/2021 0:00,27,0,15,12,Europe
Laos,19.85627,102.495496,4/19/2021 0:00,58,0,49,9,Western Pacific
Dominica,15.415,-61.371,4/19/2021 0:00,165,0,159,6,Americas
Fiji,-17.7134,178.065,4/19/2021 0:00,72,2,65,5,Western Pacific
Grenada,12.1165,-61.679,4/19/2021 0:00,157,1,154,2,Americas
Solomon Islands,-9.6457,160.1562,4/19/2021 0:00,20,0,18,2,Western Pacific
Vanuatu,-15.3767,166.9592,4/19/2021 0:00,3,0,1,2,Western Pacific
Samoa,-13.759,-172.1046,4/19/2021 0:00,3,0,2,1,Western Pacific
Marshall Islands,7.1315,171.1845,4/19/2021 0:00,4,0,4,0,Western Pacific
Micronesia,7.4256,150.5508,4/19/2021 0:00,1,0,1,0,Western Pacific
Saint Kitts and Nevis,17.357822,-62.782998,4/19/2021 0:00,44,0,44,0,Americas
Tajikistan,38.861,71.2761,4/19/2021 0:00,13308,90,13218,0,Europe
